날짜,PM10,SO2,CO,O3,NO2
2012-11-27,23.667,0.004,0.429,0.011,0.026
2012-11-30,40.542,0.005,0.513,0.006,0.034
2012-12-01,39.917,0.006,0.458,0.013,0.025
2012-12-02,17.542,0.005,0.413,0.011,0.025
2012-12-03,36.083,0.006,0.575,0.009,0.031
2012-12-04,22.958,0.005,0.371,0.016,0.023
2012-12-07,32.375,0.005,0.588,0.007,0.035
2012-12-08,33.833,0.005,0.45,0.012,0.025
2012-12-09,21.5,0.004,0.388,0.017,0.018
2012-12-10,20.125,0.004,0.367,0.013,0.02
2012-12-11,20.042,0.005,0.417,0.014,0.023
2012-12-13,42.875,0.007,0.85,0.004,0.044
2012-12-14,48.667,0.007,1,0.004,0.042
2012-12-15,52.917,0.007,0.954,0.006,0.029
2012-12-16,29.75,0.006,0.592,0.01,0.029
2012-12-19,21.542,0.005,0.417,0.016,0.021
2012-12-20,29.333,0.006,0.533,0.012,0.033
2012-12-21,25.167,0.006,0.658,0.007,0.037
2012-12-22,32.125,0.007,0.542,0.017,0.022
2012-12-23,32.792,0.006,0.458,0.021,0.015
2012-12-24,23.458,0.005,0.467,0.014,0.023
2012-12-25,34.292,0.007,0.504,0.013,0.025
2012-12-27,30.375,0.007,0.646,0.007,0.038
2012-12-28,23.917,0.005,0.612,0.006,0.032
2012-12-29,44.5,0.006,0.808,0.006,0.037
2012-12-30,19.875,0.005,0.479,0.019,0.014
2012-12-31,21.292,0.006,0.517,0.014,0.025
2013-01-01,66.292,0.01,0.667,0.01,0.031
2013-01-03,15.75,0.004,0.367,0.017,0.016
2013-01-04,24.125,0.005,0.463,0.012,0.026
2013-01-05,24.083,0.005,0.471,0.014,0.025
2013-01-06,46.167,0.008,0.604,0.014,0.025
2013-01-07,33.5,0.006,0.546,0.012,0.032
2013-01-08,45.708,0.008,0.588,0.013,0.03
2013-01-10,20.292,0.005,0.404,0.018,0.018
2013-01-11,39.083,0.008,0.592,0.01,0.035
2013-01-12,55.625,0.01,0.887,0.006,0.046
2013-01-13,77.042,0.007,0.804,0.007,0.04
2013-01-14,80.417,0.01,0.688,0.018,0.026
2013-01-16,69.667,0.008,0.683,0.015,0.034
2013-01-17,67.542,0.007,0.65,0.015,0.025
2013-01-18,57.708,0.006,0.621,0.015,0.029
2013-01-19,42.75,0.006,0.533,0.013,0.028
2013-01-20,71.583,0.008,0.742,0.009,0.039
2013-01-22,23.708,0.005,0.621,0.009,0.031
2013-01-23,31.125,0.006,0.546,0.014,0.03
2013-01-24,57.333,0.008,0.688,0.016,0.027
2013-01-25,21.583,0.005,0.408,0.018,0.021
2013-01-26,19.292,0.005,0.392,0.017,0.022
2013-01-30,94.875,0.009,0.996,0.005,0.06
2013-01-31,91.833,0.008,0.912,0.005,0.062
2013-02-01,45.833,0.006,0.6,0.01,0.036
2013-02-02,21.917,0.005,0.442,0.017,0.023
2013-02-03,28.167,0.005,0.492,0.012,0.032
2013-02-04,32.75,0.006,0.629,0.01,0.034
2013-02-05,36.708,0.006,0.583,0.012,0.035
2013-02-07,28.208,0.004,0.433,0.019,0.02
2013-02-08,24.917,0.004,0.417,0.013,0.023
2013-02-09,23.458,0.004,0.404,0.018,0.021
2013-02-10,43.583,0.007,0.5,0.019,0.022
2013-02-11,37,0.007,0.496,0.015,0.027
2013-02-12,37.042,0.006,0.562,0.012,0.031
2013-02-14,57.667,0.013,0.763,0.007,0.048
2013-02-15,55.708,0.008,0.508,0.016,0.033
2013-02-16,22.75,0.007,0.454,0.015,0.027
2013-02-17,31.042,0.007,0.583,0.007,0.036
2013-02-18,34.583,0.005,0.575,0.008,0.032
2013-02-20,27.167,0.005,0.429,0.015,0.026
2013-02-21,63.708,0.012,0.579,0.015,0.031
2013-02-22,70.208,0.01,0.575,0.019,0.033
2013-02-23,41.542,0.006,0.463,0.018,0.023
2013-02-24,34.375,0.007,0.483,0.017,0.026
2013-02-25,49.375,0.009,0.65,0.01,0.043
2013-02-27,71.292,0.008,0.712,0.008,0.047
2013-02-28,70.125,0.01,0.692,0.008,0.058
2013-03-01,34.708,0.006,0.438,0.021,0.022
2013-03-02,44.75,0.007,0.487,0.017,0.03
2013-03-03,32.917,0.006,0.488,0.013,0.033
2013-03-04,82.25,0.014,0.592,0.015,0.036
2013-03-06,77.833,0.013,0.7,0.014,0.048
2013-03-07,114.75,0.008,0.571,0.016,0.048
2013-03-08,113,0.011,0.742,0.01,0.051
2013-03-09,148.458,0.011,0.854,0.013,0.057
2013-03-10,83.75,0.008,0.517,0.023,0.03
2013-03-11,49.167,0.007,0.521,0.012,0.035
2013-03-13,28.5,0.005,0.5,0.015,0.032
2013-03-14,29.917,0.005,0.45,0.014,0.033
2013-03-15,54.667,0.007,0.583,0.011,0.046
2013-03-16,76.042,0.009,0.596,0.013,0.047
2013-03-17,55.5,0.009,0.579,0.009,0.045
2013-03-19,143.042,0.011,0.775,0.015,0.049
2013-03-20,94.083,0.01,0.638,0.014,0.042
2013-03-21,30.5,0.006,0.45,0.016,0.035
2013-03-22,28.583,0.008,0.529,0.011,0.044
2013-03-23,58.583,0.006,0.483,0.017,0.037
2013-03-24,56.125,0.008,0.529,0.019,0.037
2013-03-26,34.833,0.006,0.504,0.015,0.039
2013-03-27,39.833,0.007,0.562,0.014,0.048
2013-03-28,62.667,0.012,0.583,0.015,0.057
2013-03-29,58.542,0.006,0.5,0.019,0.037
2013-03-30,34.5,0.006,0.454,0.015,0.04
2013-03-31,42.5,0.005,0.454,0.022,0.03
2013-04-01,36.875,0.006,0.504,0.016,0.037
2013-04-03,38.167,0.006,0.592,0.019,0.039
2013-04-04,77.917,0.009,0.637,0.021,0.047
2013-04-05,70.583,0.009,0.617,0.015,0.052
2013-04-06,28.125,0.006,0.542,0.02,0.029
2013-04-07,15.708,0.004,0.413,0.021,0.019
2013-04-08,40.5,0.006,0.442,0.022,0.032
2013-04-09,57.792,0.006,0.429,0.024,0.026
2013-04-10,30.375,0.004,0.408,0.02,0.025
2013-04-12,31.5,0.005,0.425,0.017,0.03
2013-04-13,45.25,0.007,0.467,0.015,0.039
2013-04-14,66.417,0.006,0.429,0.019,0.034
2013-04-16,52.167,0.007,0.471,0.01,0.039
2013-04-17,41.583,0.006,0.479,0.011,0.035
2013-04-18,54.708,0.008,0.554,0.012,0.037
2013-04-19,30.458,0.005,0.446,0.02,0.033
2013-04-20,19.75,0.004,0.454,0.016,0.033
2013-04-21,27.917,0.005,0.425,0.019,0.028
2013-04-22,47.458,0.007,0.525,0.017,0.044
2013-04-24,31.833,0.005,0.487,0.013,0.031
2013-04-25,57.083,0.007,0.554,0.017,0.039
2013-04-26,36.125,0.005,0.408,0.023,0.026
2013-04-27,36.875,0.006,0.45,0.023,0.033
2013-04-28,48.917,0.009,0.517,0.015,0.046
2013-04-29,52.625,0.007,0.479,0.01,0.042
2013-04-30,56.292,0.007,0.496,0.012,0.041
2013-05-01,37.458,0.005,0.396,0.015,0.027
2013-05-03,39.167,0.007,0.508,0.011,0.037
2013-05-04,48.792,0.006,0.471,0.02,0.035
2013-05-05,58.125,0.006,0.504,0.021,0.037
2013-05-06,61.958,0.01,0.533,0.019,0.046
2013-05-07,38.458,0.006,0.429,0.014,0.031
2013-05-09,62.417,0.009,0.583,0.007,0.05
2013-05-10,33.875,0.007,0.492,0.009,0.038
2013-05-11,46.917,0.007,0.525,0.009,0.041
2013-05-12,110.708,0.011,0.7,0.012,0.048
2013-05-14,77.125,0.014,0.554,0.006,0.052
2013-05-15,55.125,0.011,0.496,0.009,0.03
2013-05-16,25.375,0.006,0.45,0.013,0.03
2013-05-17,22.875,0.006,0.4,0.015,0.026
2013-05-18,49.042,0.018,0.517,0.006,0.047
2013-05-19,43,0.009,0.5,0.009,0.037
2013-05-20,55.042,0.01,0.55,0.009,0.042
2013-05-21,66.833,0.012,0.579,0.009,0.052
2013-05-23,78.25,0.016,0.579,0.01,0.062
2013-05-24,98.292,0.018,0.704,0.007,0.072
2013-05-25,90.5,0.017,0.587,0.005,0.049
2013-05-26,73.5,0.018,0.496,0.005,0.042
2013-05-27,48.292,0.008,0.442,0.009,0.035
2013-05-28,32,0.007,0.471,0.006,0.029
2013-05-30,76.458,0.008,0.492,0.009,0.042
2013-05-31,94.375,0.021,0.692,0.005,0.069
2013-06-01,92,0.022,0.667,0.005,0.06
2013-06-02,31.583,0.007,0.383,0.012,0.027
2013-06-04,40.917,0.015,0.463,0.007,0.033
2013-06-05,54.958,0.015,0.558,0.005,0.038
2013-06-06,61.375,0.013,0.554,0.006,0.031
2013-06-07,49.208,0.007,0.5,0.009,0.028
2013-06-08,43.708,0.009,0.438,0.008,0.026
2013-06-09,35.375,0.007,0.396,0.012,0.024
2013-06-11,41.292,0.007,0.487,0.009,0.03
2013-06-12,50.458,0.011,0.533,0.006,0.032
2013-06-13,53.417,0.01,0.454,0.004,0.031
2013-06-14,44.625,0.011,0.517,0.004,0.025
2013-06-15,56.75,0.014,0.546,0.004,0.038
2013-06-16,63.167,0.013,0.542,0.004,0.035
2013-06-17,38.542,0.009,0.45,0.003,0.025
2013-06-19,32.625,0.007,0.529,0.007,0.03
2013-06-20,34.5,0.012,0.496,0.005,0.033
2013-06-21,40.167,0.013,0.471,0.006,0.036
2013-06-22,51.875,0.013,0.467,0.006,0.032
2013-06-23,46.833,0.007,0.529,0.007,0.028
2013-06-25,56,0.012,0.567,0.006,0.031
2013-06-26,31.375,0.007,0.487,0.008,0.025
2013-06-27,39.75,0.011,0.533,0.005,0.029
2013-06-28,36.208,0.006,0.471,0.007,0.023
2013-06-29,43.333,0.009,0.467,0.007,0.025
2013-06-30,35.042,0.007,0.429,0.009,0.02
2013-07-02,46.75,0.006,0.408,0.007,0.013
2013-07-03,43.458,0.007,0.438,0.008,0.022
2013-07-04,51.125,0.007,0.496,0.008,0.026
2013-07-05,57.708,0.006,0.438,0.008,0.018
